company_location,company_name,date_expiry,date_posted,employment_type,job_description,job_requirements,job_title,num_apps,salary_lower,salary_type,salary_upper,seniority
"Marina Bay Financial Centre, 8 Marina Boulevard 018981",Google Asia Pacific Pte. Ltd.,28 Feb 2019,29 Jan 2019,Full Time,"Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Large Customer Sales (LCS) Our Large Customer Sales teams partner closely with many of the world’s biggest advertisers and agencies to develop digital solutions that build businesses and brands. We enjoy a bird’s eye view on the massive transformation occurring as advertising shifts to mobile and online platforms. We're uniquely situated to help shape how companies grow their businesses in the digital age. We advise clients on Google's broad range of products across search, video and mobile to help them connect instantly and seamlessly with their audiences. The role: Data Science Lead, Large Customer Sales - Singapore At Google, data drives all of our decision-making. Quantitative Analysts work all across the organization to help shape Google's business and technical strategies by processing, analyzing and interpreting huge data sets. Using analytical rigor and statistical methods, you mine through data to identify opportunities for Google and our clients to operate more efficiently, from enhancing advertising efficacy to network infrastructure optimization to studying user behavior. As an analyst, you do more than just crunch the numbers. You work with Engineers, Product Managers, Sales Associates and Marketing teams to adjust Google's practices according to your findings. Identifying the problem is only half the job; you also figure out the solution. Additional Role Description: As a Data Science Lead, you'll be a key member of Google Large Customer Sales, the team that manages Google’s business relationship with global advertisers. As a Data Science Lead you will generate actionable insights and solutions that drive business results, by applying data science techniques and Machine Learning models to Google data, customers’ data and 3rd party data.  By working closely with customers’ Marketing, Data Science, Business Intelligence and Customer Relationship Management (CRM) teams, you will develop an understanding of the key opportunities and challenges they face. You will scope, execute and take full ownership of projects that will leverage Google’s cutting-edge data science techniques and Machine Learning models, to help customers solve their most pressing challenges, defining and scaling solutions to optimize marketing effectiveness, attribution models, creative excellence, and lifetime value (LTV). Responsibilities: - Analyze Google data, customers’ data and third party data to identify new data-driven business opportunities, estimating value and resources required by customers and Google. - Deliver projects end-to-end, working with customers’ teams to gather and prepare data/features, to analyze data with programming/statistical languages (e.g. R, Python) and generate insights, to choose and deploy Machine Learning models, solving for the business opportunities identified. - Work with Account Management teams to ensure that recommended solutions deliver expected performance improvements for customers, also by designing and executing experiments, resulting in accelerated Google media investments by customers. - Collaborate with gTech Customer Solutions Engineers and customers’ Engineering teams, to implement and scale the solutions identified; scale to other customers and sectors. - Act as Data Science advocate within Google Singapore Large Customer Sales, advising and coaching Analytical teams, sharing best practices and case studies, helping to lift the overall literacy; develop collaborations with gTech, Cloud, Product, Engineering teams as relevant.","RequirementsMinimum qualifications: - Bachelor’s degree in Statistics, Mathematics, Computer Science or related field, or equivalent practical experience. - 4 years of experience in data science, advanced analytics, statistical modeling; experience working for Apps, E-Commerce, Fintech, Gaming, Travel and/or Ride Hailing companies. - Experience in SQL and statistical programming languages (e.g. R, Python). Experience in solving complex problems and defining and testing hypotheses to generate insights that drive business results. - Experience in translating data science concepts into business recommendations and communicating effectively to business leaders. Preferred qualifications: - Master’s or PhD degree in Statistics, Mathematics, Computer Science or similar fields. - Understanding of digital marketing and experience working with data to solve marketing problems including audience targeting, bidding, creatives optimization, and measurement and attribution. - Client-facing experience with the ability to manage relationships with Client Data/Engineering teams. - Team leading experience, with a focus on building and managing (small) teams of data scientists. - Experience in deploying Machine Learning solutions based on TensorFlow or equivalent tools. - Knowledge of Machine Learning models and techniques including data cleansing, normalization, feature engineering, model training/validation and automation.","Data Science Lead, Large Customer Sales - Singapore",3.0,7700.0,Monthly,15400.0,Executive
"Alice@Mediapolis, 29 Media Circle 138565",Trakomatic Pte. Ltd.,28 Feb 2019,29 Jan 2019,Full Time,"Roles & ResponsibilitiesThe Retail Data Analyst will lead and perform complex analysis in an evolving data environment. In addition to very strong technical skills, this position requires superb business process analysis and interpersonal skills. The ability to extract and analyze shopper behaviour related data (footfall, demographic, crowd density, shelves engagement and sales transaction data), patterns, and related trends is needed, with the subsequent ability to synthesize the data into information consumable by different department from marketing, senior business decision-makers, operation team and leasing department.  Retail business analyst job entails conducting quantitative and qualitative analyses including customer behaviour, retail trends, etc. The role involves presenting the shopper Analytics insights and educating the usage of the data to clients.    Responsibilities:     Complete projects that require data mining, analysis, and presentation.   Focus on solutions, dive into projects, quickly identify drivers in the data.   Identify relevant trends, do follow-up analysis, prepare visualizations.   Develop dashboards to track remediation of issues.    While the focus of this role is the extraction and interpretation of data, it also requires the capacity to identify, explore, interpret and present key trends, ideas and concepts   Analysis: Data analysts work with large amounts of data: facts, figures, and number crunching. You will need to see through the data and analyse it to find conclusions.   Communication: Data analysts are often called to present their findings or translate the data into an understandable document. You will need to write and speak clearly, easily communicating complex ideas.   Critical Thinking: Data analysts must look at the numbers, trends, and data and come to new conclusions based on the findings.   Attention to Detail: Data is precise. Data analysts have to make sure they are vigilant in their analysis to come to correct conclusions.    ","RequirementsRequirements:     A bachelor’s degree in math, computer science, business, analytics, or a related field is required. Strong math and analysis skills are needed.   Effective communication, computer, analytical, customer service, and project management skills are also important.   The ideal candidates should have experience working in a business/data analysis role in the retail business processes and retail systems experience.   Math Skills: Data analysts need math skills to estimate numerical data.   Working familiarity with tools like Power BI, Qlikview, Tableau, Hadoop, Excel.   Self-starter – must be productive with minimal direction.   Ability to work in a fast-paced, technical, cross-functional environment.   Excellent visual design sense regarding clear and accurate presentation of data.   Basic SQL skills desirable.  ",Data Analyst,12.0,3500.0,Monthly,4500.0,Professional
,"Varian Medical Systems Pacific, Inc.",28 Feb 2019,29 Jan 2019,Permanent,"Roles & ResponsibilitiesPosition Summary & Core Responsibilities: Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design.  Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems Identify, analyze, and interpret trends or patterns in complex data sets Filter and “clean” data Work with management to prioritize business and information needs Locate and define new process improvement opportunities Aggregate, connect, and analyze data from Salesforce.com Compare data and perform ETL function with Qlik and PowerBI Administrative experience with Systems, ERP, or CRM  Skills & Qualification:  Fresh graduates / proven working experience as a data analyst or business data analyst Technical expertise regarding data models, database design development, data mining and segmentation techniques Strong knowledge of and experience with reporting packages, databases, programming Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc) Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Adept at queries, report writing and presenting findings Bachelor’s in mathematics, Economics, Computer Science, Information Management or Statistics preferred, but open to all other relevant backgrounds     ","RequirementsMinimum Required Skills and Knowledge:  Proficient in utilizing tools such as: E-mail, Microsoft Word, Excel, and PowerPoint Experience with basic statistics, qualitative, and quantitve analysis  Education and Experience:  Bachelors Degree  ",Business Data Analyst,48.0,,,,Fresh/Entry Level
"Anson Centre, 51 Anson Road 079904",Intellect Minds Pte. Ltd.,28 Feb 2019,29 Jan 2019,Full Time,"Roles & ResponsibilitiesCompany Overview Intellect Minds is a Singapore-based company since 2008, specializing in talent acquisition, application development, and training. We serve BIG MNCs and well-known clients in talent acquisition, application development, and training needs for Singapore, Malaysia, Brunei, Vietnam and Thailand. Our client is an establish company a, leader within their industry, is now looking for a Data Engineer to join their esteemed organization. Job Descriptions: Responsibilities • Create and maintain optimal data pipeline architecture. • Assemble large, complex data sets that meet functional / non-functional business requirements. • Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL, Cassandra, Hadoop and other Big Data Technologies. • Build data pipeline on premise and on Google Cloud Platform. • Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics. • Work with stakeholders including the Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. • Work with data and analytics experts to strive for greater functionality in our data systems.","RequirementsQualifications • Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases. • Experience building and optimizing ‘big data’ data pipelines, architectures and data sets. • Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement. • Strong analytic skills related to working with unstructured datasets. • Build processes supporting data transformation, data structures, metadata, dependency and workload management. • A successful history of manipulating, processing and extracting value from large disconnected datasets. • Working knowledge of message queuing, stream processing, and highly scalable ‘big data’ data stores. • Experience supporting and working with cross-functional teams in a dynamic environment. • We are looking for a candidate with 5+ years of experience in a Data Engineer role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools: • Experience with big data tools: Hadoop, Spark, Kafka, etc. • Experience with Google Cloud Platform esp. Google Pub-Sub, Big Query, Data Proc, Data Flow, Cloud Storage. • Experience with IoT & Time series data. • Experience with relational SQL and NoSQL databases, including Postgres and Cassandra. • Experience with stream-processing systems: Storm, Spark-Streaming, etc. • Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc. All successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits. Interested Candidates please submit your detailed resume online. To your success! The Recruitment Team Intellect Minds Pte Ltd (Singapore)",Data Engineer,1.0,5000.0,Monthly,7000.0,Executive
55 Market Street 048941,Kimberley Consulting Pte. Ltd.,03 Feb 2019,29 Jan 2019,Permanent,"Roles & Responsibilities Large commodities company Marina Bay    Responsibilities:  Use statistical methods to analyze data and generate useful business insights Dig through and analyze data in company’s databases, public websites, social media etc to gather useful insights and present them to stakeholders Preprocess structured/unstructured data and provide cleansed data for building analytic models Understand business requirements and convert into use-cases for data science Working closely with data scientist in providing data needs as well as communicating the modeling results to business Working closely with data engineers in communicating business requirements and supporting in data procurement needs ","RequirementsRequirements:  Minimum Bachelor’s Degree in Mathematics/Computer Engineering Preferably 1-2 years’ experience in data-mining, Python and/or R programming, and analytical skills Ability to collaborate effectively and work as part of a team Strong experience in performing Exploratory Data Analytics using Statistical tool such as Excel, or programming languages like R, Python Good to have experience in working on various big data tools such as hive, spark, sqoop etc, and with MySQL and NoSQL databases Excellent communication and engagement skills, so as to be able to explain ideas clearly regardless of the audience Experience in working on Text analytics projects    Interested applicants, please email a copy of your latest resume. Kimberley Consulting Reg No: 10C5555 Hoe ChangBang EA License: R1435209",Data Analyst,4.0,,,,Executive
"Connexis, 1 Fusionopolis Way 138632",Gumi Asia Pte. Ltd.,28 Feb 2019,29 Jan 2019,Full Time,"Roles & Responsibilities Perform evaluations and problem investigation for Marketing Data Work within the Business Innovations department to identify data related problems and provide solutions Conduct research and collect data which will help in continual product development that meet department requirements Ensure high quality data are collected and integrity of the data Process data to develop reports specifically required by the department Analyse information using various statistical methods, trying to see patterns in data Create reports and presentations ","Requirements Minimum Diploma/ Degree in Statistics/Computer Science Minimum 2 year's experience in Data Management, Consolidation and Analysis Preferred High proficiency in Microsoft Excel is required Previous experiences with R and MySQL will be highly valued. Possess excellent problem solving, presentation, organizational and project management Good communication skill and interpersonal skill ",Data Analyst,1.0,2800.0,Monthly,3800.0,Junior Executive
"Marina Bay Financial Centre, 12 Marina Boulevard 018982",Dbs Bank Ltd.,28 Feb 2019,29 Jan 2019,Full Time,"Roles & ResponsibilitiesBusiness Function  As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.    About this role    The Regional Data Science team is part of the Regional Business Analytics team for Consumer Banking Group. Our responsibilities include building the Data Science Solutions using advanced machine learning methods, recommendation engines, text mining solutions and customer models to increase the business impact and efficient customer management, as well as answer numerous business questions using statistical tools and data analysis.   Responsibilities     Involve in building cutting edge algorithms and working with state-of-art data science and machine learning tools such as Spark, Tensor Flow and will have mastery in any number of analytic platforms like SAS, SQL, Python, R. etc. Work with large scale datasets, distributed Big Data Platforms for a variety of advanced analytics solutions across the Bank ranging from recommendation engines, Propensity models, customer segmentation, Graph models, pricing and more. Work alongside BA Leadership, making regular presentation to senior management including C-level executives within the Consumer Bank Leadership across the region Help the team with methodology and guidance in the areas of experiment design and data analysis. ","Requirements Masters or equivalent degree in Statistics, Applied Mathematics, Operation Research, or equivalent quantitative fields preferred. Strong mathematical and statistics background. 6-10 years of experience in industry (ideally consumer banking, ecommerce, telecoms, retail) and/or academia with demonstrated track record of innovative research and insight generation and implementation of insights into tools/processes delivering front end business results  At least 5 years of data mining and machine learning on large amount of data, building and implementing various statistical models. Good understanding of technology tools especially those related to analytics, data & statistical modelling.  Programming experience in SAS (Base, Stats, Macro, EG, EM), R, Python, Spark, Tensorflow or other statistical programing software.  Familiarity with Hadoop, Hive, and Pig. Proficient in using databases like Teradata, Oracle, SQL Server, Neo4J etc.. Knowledge of internet marketing data collection and metrics as well as familiarity with digital analytics platforms like Google Adwords, Facebook Contextual marketing, Omniture/Adobe, Mediaplex, etc would be helpful. Ability to communicate complex analysis/models across a diverse team. Good written and oral communication skills ","Avp, Data Scientist, Business Analytics, Consumer Banking Group (180004Xi)",2.0,6500.0,Monthly,11700.0,Senior Management
"Parkview Square, 600 North Bridge Road 188778",Niometrics (Pte.) Ltd.,28 Feb 2019,29 Jan 2019,Permanent,"Roles & ResponsibilitiesWHAT WE DO We invite you to be part of our ambitious, close-knit team creating systems for large customers who need to crunch through Tbps of data in real-time. Our approach is relentless performance-oriented software engineering vs. server sprawl in our customers' datacentres. You will use the latest high-end hardware and continuously devise ways to push the envelope of software performance. We build in-house systems if we must. We had to for indexing 1M 60-column rows/s, for aggregating high throughput event streams over hundreds of combinations of dimensions, and for pattern matching 5M patterns at 100Gb/s per 2RU. We use these to solve real customer problems. You will experiment wildly. For example we implemented network monitoring using a GPU, and we tested 4-socket machines with 2T RAM. Our current favourite platform is a 2-socket system with E5-2699v4 CPUs (88 lcores in total), 4x40Gbps NICs and 1T RAM, which we use to process 160Gbps. You will help us build a successful software platform for the long run. We invest a lot in flexibility, such as with our extensible rule engine and declarative aggregation system that empowers our analysts and helps us minimise the C code we have to write for supporting disparate use-cases. We know the devil is in the details. You will improve performance through better memory allocation systems and better data structures, all while ensuring that they are integrated with Address Sanitizer and fully tested using unit tests and end-to-end regression tests. We work end-to-end. You will implement data engineering solutions that are both efficient and secure for handling events from 500 million users, and to extract insight without leaking individual information. We want to show off. To attract the best programmers we plan to showcase our technology. You can be part of our effort to open-source interesting pieces of our technology stack.   YOUR ROLE AS HIGH-PERFORMANCE DATA ENGINEER As a High-Performance Data Engineer, you will create and maintain tools, mainly in C, for crunching large amounts of data in files or streams. You will have to think both big, in terms of overall architecture, and small, in terms of low-level optimisations, to deliver solutions that are reusable, and match the performance of the best hardware. Every capability you add directly translates to new offerings made possible. Every percent of performance improvement directly translates to large cost savings. At the same time, the correctness and reliability of your work will be the cornerstone to our customers’ trust.",RequirementsWHAT WE VALUE  Bachelor’s or Higher Degree in Computer Science or equivalent Software craftsmanship Attention to reliability and successful delivery Experience with large C code bases and high-performance C programming Familiarity with shared memory data structures and parallel algorithms Proficiency with Linux system & development tools ,High-Performance Data Engineer,1.0,5500.0,Monthly,11000.0,Professional
"Parkview Square, 600 North Bridge Road 188778",Niometrics (Pte.) Ltd.,28 Feb 2019,29 Jan 2019,Permanent,"Roles & ResponsibilitiesWHAT WE DO Niometrics captures, organises and extracts insights from some of the biggest and most complicated datasets that our modern societies currently produce. We put a magnifying glass on the realities collectively constructed by billions of connected individuals and machines, making sense of how humanity is re-creating wholly new digital universes with bits and bytes – universes that need to be seen, interpreted and explained. From taking deep dives into digital behaviours, to exploring the most intimate interactions between network technology and user experiences, we do it all. Our Data Science team consists of ambitious, creative and passionate individuals, united in the common goal of making a difference. With millions of users generating hundreds of TBs of data daily, our day-to-day job becomes an adventure of connecting digital signals with real-life habits to formulate granular audience insights – who they are, how they behave, and ultimately, how we can expect them to behave in the future. The action does not stop there – we also take pride in working with the latest high-end hardware and world-class software architecture. This means there are virtually no limits to the scope of future events we can model, giving us insights on not just people, but also the entire inter-connected ecosystem to which they belong. We are perfectionists and we do not hide it. You will join a thrilling environment, implementing and deploying data science solutions that are both efficient and secure, setting the basis for a groundbreaking software platform for the long run.  YOUR ROLE AS DATA SCIENTIST As a Data Scientist, you will work end-to-end, leading entire projects and owning their outcomes through their entire lifecycle. You will formulate hypotheses on structured and unstructured data, design experiments, draw meaningful conclusions and effectively communicate the results to business stakeholders. You will be part of a relentless team, curious to extract the highest value possible in the most effective way. You will put into action your machine learning skills, and together, we will build optimum algorithms for regression, classification, clustering, and information extraction.","RequirementsWHAT WE VALUE  BA/BS (or MA/MS) or equivalent experience in applied Data Science. Proficiency in statistical packages and ML libraries for both big and not so big data (e.g. Python SciPy ecosystem, NLTK, Tensorflow or equivalent, Spark ML and MLlib, etc.) In depth knowledge of cutting-edge machine learning algorithms, as well as the strengths and weaknesses of the different methods and algorithms on different applications. Experience in Unix systems and scripting in bash. Proficiency in code optimisation (knowledge of Cython or similar) ",Data Scientist,10.0,5000.0,Monthly,10000.0,Professional
"Singapore Wine Vault Building, 6 Fishery Port Road 619747",Redmart Limited,28 Feb 2019,29 Jan 2019,"Permanent, Full Time","Roles & ResponsibilitiesAs one of the fastest growing e-commerce and logistics companies in Asia, RedMart is a part of Alibaba-backed Lazada, Southeast Asia’s leading online shopping and selling platform, and we offer an unparalleled scaling a startup experience. We’re focused on always improving our customer experience and achieving our mission: To save our customers time and money for the important things in life! We are looking for a Lead Data Scientist who cares deeply about customers and users to help develop the next generation of search and personalization at RedMart. You will build data mining systems to tackle hard problems in understanding and predicting consumer behavior to offer items to customers which are most relevant to them. You will work with engineers, product managers and designers to develop innovative new technologies and data driven features and products. You will also work closely with other Data Scientists to collaborate on projects and share techniques and learnings. If you enjoy working with data to build products and solve hard problems in surprisingly creative ways, this is the role for you.  ","RequirementsQualifications:  Deep expertise in search, preferably in e-commerce. Excellent knowledge on improving search incrementally as well as making step-changes such as applying NLP, text mining, etc. Proven track record building robust search systems and achieving strong results Expertise in personalization and recommender systems Able to guide a team of engineers to identify and break down necessary architecture and services to support search and personalization services Able to guide and work well with a team of engineers to implement Machine Learning algorithms and models, as well as implementing necessary software Solid understanding of search metrics and implementing tracking to measure performance Solid understanding of search engines and utilizing features effectively. Familiarity with ElasticSearch is a plus Hands-on experience developing and implementing Machine Learning algorithms and models. Background in Machine Learning,Statistics & Information Retrieval Design, implement, test robust technical solutions that our high traffic site/apps can rely on Write clean code that’s testable, maintainable, solves the right problem and does it well. Code you can be proud of. Phd, Masters, or equivalent experience in a quantitative field (computer science, physics, mathematics, bioinformatics, etc.) a plus, but by no means a must Experience programming in functional languages (Scala,Golang,Haskell, Clojure etc.) a plus but not a must Knowledge of scripting languages like  Python/R, familiarity with web frameworks a plus Experience with Java and/or Scala and microservices is a plus Understanding of A/B testing      Desired Skills:  Able to be a key influencer in the team’s strategy and contribute significantly to team planning, showing good judgement making technical trade-offs between the team’s short term and long term business needs, and the needs of the company as a whole Strong team player: Superb communication skills, thrives in a collaborative environment and be committed to the success of the team as a whole. Critical thinking: ability to track down complex data and engineering issues, evaluate different algorithmic approaches, and analyze data to solve problems Creativity: you can conceive of new data driven products, features, and technologies Results: you prioritize, focusing on ideas and features that will have significant, measurable impact Planning & estimation: ability to set and meet your own project objectives & milestones Communicate results and progress internally and externally in meetings, presentations, and tech talks Passion for technology. Our developers are always evaluating new tools and technologies that can make us better. What has attracted your interest lately? ",Lead Data Scientist,5.0,7000.0,Monthly,14000.0,Professional
